장기요양기관기호,기관명,기관종류,급여종류,대표자명,설립구분,지정일자,우편번호,기관주소,기관전화번호,폐업여부
2-46780-00072,소망복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",김종순,개인,2021-10-01,59423,전라남도 보성군 벌교읍 벌교상고길 21,061-888-7700,운영
2-46780-00025,평화노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",정찬동,법인,2009-09-30,59423,전라남도 보성군 벌교읍 회정새길 1,061-858-0111,운영
2-46780-00020,대건노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",정종철,개인,2008-12-15,59458,"전라남도 보성군 보성읍 중앙로 61-13, 2층",061-852-3939,운영
2-46780-00008,엘림노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",김정희,개인,2008-07-16,59458,전라남도 보성군 보성읍 현충로 42-5,061-852-0595,운영
3-46780-00038,보성은빛복지센터,재가장기요양기관,"방문요양,방문목욕,주야간보호",최우람,개인,2012-07-09,59431,전라남도 보성군 벌교읍 분토길 32,061-858-3328,운영
2-46780-00087,예당주간보호센터,재가급여제공 장기요양기관,주야간보호,강은숙,개인,2024-06-13,59436,전라남도 보성군 득량면 예당길 57,061-853-1515,운영
2-46780-00068,효재가노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",유창민,개인,2020-06-30,59405,"전라남도 보성군 복내면 송재로 1832, 2층",061-852-9997,운영
2-46780-00071,나눔재가복지센터,재가급여제공 장기요양기관,방문요양,이점숙,개인,2021-08-18,59463,전라남도 보성군 보성읍 동암1길 218-1,061-852-1691,운영
2-46780-00089,도울노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",신세미,개인,2024-11-28,59424,"전라남도 보성군 벌교읍 채동선로 263-1, 상가동 1층",061-857-0500,운영
2-46780-00078,효덕노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕,주야간보호",김승덕,개인,2023-04-25,59453,전라남도 보성군 보성읍 태평길 19-73,061-852-3698,운영
2-46780-00073,행복드림재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",정우일,개인,2022-03-31,59405,전라남도 보성군 복내면 복내선돌길 4,061-852-5582,운영
2-46780-00075,부모사랑재가노인복지센터,재가급여제공 장기요양기관,방문요양,윤근,개인,2022-12-07,59441,전라남도 보성군 조성면 조성로 104-2,061-857-7787,운영
2-46780-00085,더효드림노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",신미숙,개인,2024-06-13,59454,전라남도 보성군 보성읍 현충로 116,061-853-6661,운영
1-46780-00014,보성군립노인요양원밝은동산,시설급여제공 장기요양기관,노인요양시설(개정법),홍기숙,지방자치단체,2008-08-14,59420,전라남도 보성군 벌교읍 남하로 599-9,061-858-3500,운영
2-46780-00082,평안복지센터,재가급여제공 장기요양기관,방문요양,정영택,개인,2024-03-14,59436,전라남도 보성군 득량면 예당길 172-1,061-852-2939,운영
2-46780-00070,마르페재활주간보호센터,재가급여제공 장기요양기관,주야간보호,이란,개인,2021-05-18,59460,전라남도 보성군 보성읍 신지두슬길 15-10,061-852-7795,운영
2-46780-00081,한마음노인복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕,주야간보호",정수경,개인,2023-06-02,59430,전라남도 보성군 벌교읍 장좌월곡길 63,061-858-6634,운영
2-46780-00059,천사노인복지센터,재가급여제공 장기요양기관,"방문요양,주야간보호",홍기숙,지방자치단체,2018-05-01,59439,전라남도 보성군 득량면 마천길 51-20,061-853-5055,운영
1-46780-00046,보성군행복노인전문요양원,시설급여제공 장기요양기관,노인요양시설(개정법),정찬동,법인,2015-01-01,59406,전라남도 보성군 복내면 송재로 1167,061-853-3300,운영
2-46780-00076,효드림재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",정은주,개인,2023-01-01,59454,전라남도 보성군 보성읍 현충로 116,061-852-5700,운영
1-46780-00044,엔젤요양원,시설급여제공 장기요양기관,노인요양공동생활가정,이연미,개인,2014-06-12,59415,전라남도 보성군 벌교읍 벌교중흥길 133,061-858-9700,운영
2-46780-00066,다향시니어재가복지센터,재가급여제공 장기요양기관,"방문요양,방문목욕",이종승,개인,2020-05-27,59455,"전라남도 보성군 보성읍 새싹길 7, 2층 203호",061-852-0555,운영
2-46780-00069,나눔노인주간보호센터,재가급여제공 장기요양기관,주야간보호,정준민,개인,2021-02-05,59463,전라남도 보성군 보성읍 동암1길 218-1 (나눔노인주간보호센터),061-852-1690,운영
1-46780-00036,보성소망요양원,시설급여제공 장기요양기관,노인요양공동생활가정,박병준,개인,2011-11-01,59449,전라남도 보성군 웅치면 유산길 356,061-852-5488,운영
1-46780-00011,연산효자노인홈,시설급여제공 장기요양기관,노인요양공동생활가정,은광석,법인,2008-07-29,59418,전라남도 보성군 벌교읍 금산길 107,061-858-5117,운영
2-46780-00045,행복노인복지센터,재가급여제공 장기요양기관,주야간보호,정찬동,법인,2015-01-01,59406,전라남도 보성군 복내면 송재로 1167,061-853-0255,운영
3-46780-00048,보금자리노인복지센터,재가장기요양기관,방문요양,조민근,개인,2015-05-20,59411,전라남도 보성군 겸백면 충의로 2455,061-853-6052,운영
