연번,시설유형,시설명,시설소재지도로명주소,시설소재지지번주소,위도,경도,전화번호,급여종류,입소정원,데이터기준일자
1,재가시설,흑산재가복지요양센터,전라남도 신안군 흑산면 흑산일주로 2637,전라남도 신안군 흑산면 예리 산 98-12,34.68273533,125.4432869,061-246-4894,방문요양+방문목욕,,2026-06-08
2,재가시설,늘푸른재가복지센터,전라남도 신안군 자은면 중부로 2606-7,전라남도 신안군 자은면 유각리 245-3,34.8665483,126.060212,061-262-9414,방문요양+방문목욕,,2026-06-08
3,재가시설,전남재가복지센터,전라남도 신안군 장산면 압해로 849,전라남도 신안군 압해읍 학교리 649-5,34.863893,126.315674,061-246-1008,방문요양+방문목욕,,2026-06-08
4,재가시설,사랑재가복지센터,전라남도 신안군 임자면 임자로 129-2,전라남도 신안군 임자면 진리 431-26,35.08565792,126.108517,061-275-7185,방문요양+방문목욕,,2026-06-08
5,재가시설,효다함재가복지센터,전라남도 신안군 하의면 곰실길 11-12,전라남도 신안군 하의면 웅곡리 242-15,34.60733323,126.0379131,061-261-3341,방문요양+방문목욕,,2026-06-08
6,재가시설,누리봄 노인주간보호센터,전라남도 신안군 암태면 중부로 1801-11,전라남도 신안군 암태면 단고리 27-38,34.82784502,126.1129862,061-261-1330,주야간보호,,2026-06-08
7,재가시설,행복65지도 노인복지센터,전라남도 신안군 지도읍 동천길 1083-1,전라남도 신안군 지도읍 자동리 1110,35.05804877,126.2412227,061-261-6565,주야간보호,,2026-06-08
8,재가시설,팔금노인복지센터,전라남도 신안군 팔금면 탑목개길 162-10,전라남도 신안군 팔금면 읍리 111-1,34.78325452,126.1439987,061-271-4147,방문요양+방문목욕,,2026-06-08
9,재가시설,㈜남도노인복지센터,전라남도 신안군 안좌면 중부로 747,전라남도 신안군 안좌면 창마리 295-7,34.74577895,126.1283889,061-261-0713,방문요양+방문목욕,,2026-06-08
10,재가시설,비금노인장기요양센터,전라남도 신안군 비금면 비금북부길 1116-5,전라남도 신안군 비금면 지당리 623,34.78278,125.95639,061-275-8291,방문요양+방문목욕,,2026-06-08
11,재가시설,나눔재가복지센터,전라남도 신안군 도초면 불섬길 57,전라남도 신안군 도초면 발매리 17-5,34.71409679,125.9355347,061-261-9001,방문요양+방문목욕,,2026-06-08
12,재가시설,밀알재가복지센터,전라남도 신안군 암태면 장단고길 7-19,전라남도 신안군 암태면 단고리 27-8,34.82819951,126.1128467,061-262-8081,방문요양,,2026-06-08
13,재가시설,잘 섬기는 재가센터,전라남도 신안군 압해읍 압해로 378-5,전라남도 신안군 압해읍 신장리 528-4,34.84065486,126.353992,061-271-7337,방문요양,,2026-06-08
14,재가시설,하의장기요양센터,전라남도 신안군 하의면 안곰실길 12-1,전라남도 신안군 하의면 웅곡리 210-1,34.67139,126.06583,061-275-3737,방문요양,,2026-06-08
15,재가시설,섬김재가노인복지센터,전라남도 신안군 임자면 진리길 17-3,전라남도 신안군 임자면 진리 475-1,35.08565265,126.1122345,061-275-1155,방문요양+방문목욕,,2026-06-08
16,재가시설,새생명 재가센터,전라남도 신안군 지도읍 백련길 73,전라남도 신안군 지도읍 감정리 748,35.08333062,126.1878037,061-275-2701,방문요양,,2026-06-08
17,재가시설,흑산주야간보호센터,"전라남도 신안군 흑산면 흑산일주로 2637, 3층",전라남도 신안군 흑산면 예리 338,34.682967,125.443189,,주야간보호,,2026-06-08
18,재가시설,산들나래재가복지센터,전라남도 신안군 압해읍 압해로 893-1,전라남도 신안군 압해읍 동서리 175-8,34.865267,126.311292,061-246-3007,방문요양+방문목욕,,2026-06-08
19,재가시설,천사복지센터,"전라남도 신안군 압해읍 천사로 904, 3동 301호",전라남도 신안군 압해읍 신장리 467-42,34.838784,126.357958,061-246-0601,방문요양,,2026-06-08
20,재가시설,가온재가복지센터,전라남도 신안군 비금면 용소길 167-1,전라남도 신안군 용소리 482-2,34.783449,125.981226,061-271-0691,방문요양+방문목욕,,2026-06-08
21,재가시설,신안지도이레노인복지센터,전라남도 신안군 지도읍 지도증도로 315,전라남도 신안군 지도읍 탄동리 874,35.036963,126.193158,061-275-0131,방문요양,,2026-06-08
22,재가시설,지도1등재가노인복지센터,전라남도 신안군 지도읍 지도증도로 6,전라남도 신안군 지도읍 읍내리 353-9,35.08333,126.21667,061-262-8834,방문요양+방문목욕,,2026-06-08
23,재가시설,다온재가복지센터,전라남도 신안군 압해읍 압해로 799,전라남도 신안군 압해읍 학교리 694-39,34.88278,126.35278,061-271-9988,방문요양,,2026-06-08
23,생활시설,신안군노인전문요양원,전라남도 신안군 압해읍 구항길 92-62,전라남도 신안군 압해읍 동서리 69-196,34.85202423,126.3145861,061-271-6100,시설급여,75,2026-06-08
24,생활시설,팔금천사의집 노인요양원,전라남도 신안군 팔금면 탑목개길 162-10,전라남도 신안군 팔금면 읍리 111-1,34.78325452,126.1439987,061-271-4147,시설급여,25,2026-06-08
25,생활시설,지도노인요양원,전라남도 신안군 지도읍 사옥길 111,전라남도 신안군 지도읍 탄동리 874,35.04252264,126.1817084,061-275-7366,시설급여,24,2026-06-08
27,생활시설,수호천사요양원,전라남도 신안군 지도읍 동천길 36,전라남도 신안군 지도읍 자동리 426-3,35.0529509,126.2578863,061-262-0988,시설급여,22,2026-06-08
28,생활시설,임자노인요양원,전라남도 신안군 임자면 독우길 209-82,전라남도 신안군 임자면 광산리 679-1,35.06444,126.07361,,시설급여,29,2026-06-08
29,생활시설,한가족실버홈,전라남도 신안군 팔금면 소금목길 26-2,전라남도 신안군 팔금면 장촌리 626,34.77133271,126.1384461,061-271-5050,시설급여,9,2026-06-08
